220407-23:59:44 [INFO] -- PollAck: SLSvrHandler is up!
220407-23:59:50 [INFO] -- Poll: TimesUp 30749 0
220407-23:59:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220407-23:59:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220407-23:59:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220407-23:59:50 [INFO] -- PollAck: LockerDriver is up!
220407-23:59:50 [INFO] -- PollAck: SLSvrHandler is up!
220407-23:59:56 [INFO] -- Poll: TimesUp 50528 0
220407-23:59:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220407-23:59:56 [INFO] -- PollAck: LockerDriver is up!
220407-23:59:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
220407-23:59:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220407-23:59:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:02 [INFO] -- Poll: TimesUp 73310 0
220408-00:00:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:08 [INFO] -- Poll: TimesUp 92541 0
220408-00:00:08 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:08 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:08 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:08 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:08 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:14 [INFO] -- Poll: TimesUp 57089 0
220408-00:00:14 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:14 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:14 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:14 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:14 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:20 [INFO] -- Poll: TimesUp 30283 0
220408-00:00:20 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:00:20 [INFO] -- PollAck: LockerDriver is up!
220408-00:00:20 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:20 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:00:20 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:00:26 [INFO] -- Poll: TimesUp 11252 0
220408-00:00:26 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:00:26 [INFO] -- PollAck: OctopusCardReaderDriver is up!
